CoachID,LName,FName,TeamID,Role
17751,Gannon,Jonathan,22,Head Coach
2333612,Morris,Raheem,1,Head Coach
17587,Harbaugh,John,33,Head Coach
2552857,McDermott,Sean,2,Head Coach
17762,Canales,Dave,29,Head Coach
2180177,Johnson,Ben,3,Head Coach
2184471,Taylor,Zac,4,Head Coach
4408695,Stefanski,Kevin,5,Head Coach
17530,Schottenheimer,Brian,6,Head Coach
17567,Payton,Sean,7,Head Coach
1832,Campbell,Dan,8,Head Coach
4082797,LaFleur,Matt,9,Head Coach
9619,Ryans,DeMeco,34,Head Coach
2126648,Steichen,Shane,11,Head Coach
2161829,Coen,Liam,30,Head Coach
17553,Reid,Andy,12,Head Coach
17596,Carroll,Pete,13,Head Coach
27,Harbaugh,Jim,24,Head Coach
2499338,McVay,Sean,14,Head Coach
4712737,McDaniel,Mike,15,Head Coach
2146711,O'Connell,Kevin,16,Head Coach
1257,Vrabel,Mike,17,Head Coach
14882,Moore,Kellen,18,Head Coach
13397,Kafka,Mike,19,Head Coach
558,Glenn,Aaron,20,Head Coach
4372439,Sirianni,Nick,21,Head Coach
17582,Tomlin,Mike,23,Head Coach
17533,Shanahan,Kyle,25,Head Coach
5044374,Macdonald,Mike,26,Head Coach
7157,Bowles,Todd,27,Head Coach
2333657,McCoy,Mike,10,Head Coach
2485644,Quinn,Dan,28,Head Coach
