TeamID,TeamName,City,Conference,Division
22,Cardinals,Arizona,NFC,W
1,Falcons,Atlanta,NFC,S
33,Ravens,Baltimore,AFC,N
2,Bills,Buffalo,AFC,E
29,Panthers,Carolina,NFC,S
3,Bears,Chicago,NFC,N
4,Bengals,Cincinnati,AFC,N
5,Browns,Cleveland,AFC,N
6,Cowboys,Dallas,NFC,E
7,Broncos,Denver,AFC,W
8,Lions,Detroit,NFC,N
9,Packers,Green,NFC,N
34,Texans,Houston,AFC,S
11,Colts,Indianapolis,AFC,S
30,Jaguars,Jacksonville,AFC,S
12,Chiefs,Kansas,AFC,W
13,Raiders,Las,AFC,W
24,Chargers,Los,AFC,W
14,Rams,Los,NFC,W
15,Dolphins,Miami,AFC,E
16,Vikings,Minnesota,NFC,N
17,Patriots,New,AFC,E
18,Saints,New,NFC,S
19,Giants,New,NFC,E
20,Jets,New,AFC,E
21,Eagles,Philadelphia,NFC,E
23,Steelers,Pittsburgh,AFC,N
25,49ers,San,NFC,W
26,Seahawks,Seattle,NFC,W
27,Buccaneers,Tampa,NFC,S
10,Titans,Tennessee,AFC,S
28,Commanders,Washington,NFC,E
